2022-10-28 09:53:04,396 [INFO] run_saw.<module>:323 running SAWs with the parameters: density=0.4, n_boxes=(11, 9), thicknesses=([4],[4])
2022-10-28 09:53:04,396 [INFO] run_saw.run:237 calculating maximal number of monomers...
2022-10-28 09:53:04,396 [INFO] run_saw.run:240 max_n=76
2022-10-28 09:53:04,396 [INFO] run_saw.run:244 getting cached OR calculating from the scratch..
2022-10-28 09:53:06,234 [INFO] aux.get_grow_caches:351 shape of existing cache is (91, 40, 40, 40), shape of query is: (77, 40, 40, 40)
2022-10-28 09:53:06,234 [INFO] run_saw.run:247 done calculating (n,dx,dy,dz) array
2022-10-28 09:53:06,234 [INFO] run_saw.run:255 boxes: [[11, 4, 4], [10, 4, 4], [9, 4, 4]] for thickness_x=4, thickness_y=4
2022-10-28 09:53:06,234 [INFO] run_saw.run:270 running WL_saw with n=70,  box=[11, 4, 4]
2022-10-28 09:53:06,234 [INFO] run_saw.run:279 ([10, 11, 12, 13, 14, 15, 16], [3, 4, 5, 6, 7, 8, 9], [3, 4, 5, 6, 7, 8, 9])
2022-10-28 09:53:06,234 [INFO] simulation.WL_saw:193 s size is: 7
2022-10-28 09:53:06,234 [INFO] simulation.WL_saw:194 counts size is: 7
2022-10-28 09:53:06,234 [INFO] simulation.WL_saw:196 indexes: [0, 1, 2, 3, 4, 5, 6]
2022-10-28 09:53:06,234 [INFO] simulation.WL_saw:208 scale alpha is: 2.000000
2022-10-28 09:53:06,235 [INFO] simulation.WL_saw:209 shifl alpha is: -0.000000
2022-10-28 09:53:24,118 [INFO] simulation.WL_saw:288 failed to grow rate: 72%, out of range:  0% 
2022-10-28 09:53:42,086 [INFO] simulation.WL_saw:288 failed to grow rate: 72%, out of range:  0% 
2022-10-28 09:54:00,028 [INFO] simulation.WL_saw:288 failed to grow rate: 72%, out of range:  0% 
2022-10-28 09:54:00,028 [INFO] simulation.WL_saw:293 ds=5.000000e-02, ds_min=0.000001, sweep number=3
2022-10-28 09:54:17,824 [INFO] simulation.WL_saw:288 failed to grow rate: 72%, out of range:  0% 
2022-10-28 09:54:35,492 [INFO] simulation.WL_saw:288 failed to grow rate: 72%, out of range:  0% 
2022-10-28 09:54:53,270 [INFO] simulation.WL_saw:288 failed to grow rate: 72%, out of range:  0% 
2022-10-28 09:54:53,270 [INFO] simulation.WL_saw:293 ds=2.500000e-02, ds_min=0.000001, sweep number=6
2022-10-28 09:55:10,960 [INFO] simulation.WL_saw:288 failed to grow rate: 73%, out of range:  0% 
2022-10-28 09:55:28,913 [INFO] simulation.WL_saw:288 failed to grow rate: 74%, out of range:  0% 
2022-10-28 09:55:46,830 [INFO] simulation.WL_saw:288 failed to grow rate: 72%, out of range:  0% 
2022-10-28 09:55:46,830 [INFO] simulation.WL_saw:293 ds=1.250000e-02, ds_min=0.000001, sweep number=9
2022-10-28 09:56:04,680 [INFO] simulation.WL_saw:288 failed to grow rate: 72%, out of range:  0% 
2022-10-28 09:56:22,479 [INFO] simulation.WL_saw:288 failed to grow rate: 72%, out of range:  0% 
2022-10-28 09:56:40,135 [INFO] simulation.WL_saw:288 failed to grow rate: 71%, out of range:  0% 
2022-10-28 09:56:40,135 [INFO] simulation.WL_saw:293 ds=6.250000e-03, ds_min=0.000001, sweep number=12
2022-10-28 09:56:57,836 [INFO] simulation.WL_saw:288 failed to grow rate: 72%, out of range:  0% 
2022-10-28 09:57:15,511 [INFO] simulation.WL_saw:288 failed to grow rate: 72%, out of range:  0% 
2022-10-28 09:57:33,210 [INFO] simulation.WL_saw:288 failed to grow rate: 71%, out of range:  0% 
2022-10-28 09:57:50,883 [INFO] simulation.WL_saw:288 failed to grow rate: 72%, out of range:  0% 
2022-10-28 09:57:50,883 [INFO] simulation.WL_saw:293 ds=3.125000e-03, ds_min=0.000001, sweep number=16
2022-10-28 09:58:08,582 [INFO] simulation.WL_saw:288 failed to grow rate: 72%, out of range:  0% 
2022-10-28 09:58:26,236 [INFO] simulation.WL_saw:288 failed to grow rate: 72%, out of range:  0% 
2022-10-28 09:58:43,958 [INFO] simulation.WL_saw:288 failed to grow rate: 72%, out of range:  0% 
2022-10-28 09:59:01,659 [INFO] simulation.WL_saw:288 failed to grow rate: 72%, out of range:  0% 
2022-10-28 09:59:19,314 [INFO] simulation.WL_saw:288 failed to grow rate: 73%, out of range:  0% 
2022-10-28 09:59:37,035 [INFO] simulation.WL_saw:288 failed to grow rate: 71%, out of range:  0% 
