2022-10-28 09:56:10,481 [INFO] run_saw.<module>:323 running SAWs with the parameters: density=0.4, n_boxes=(13, 11), thicknesses=([4],[4])
2022-10-28 09:56:10,481 [INFO] run_saw.run:237 calculating maximal number of monomers...
2022-10-28 09:56:10,481 [INFO] run_saw.run:240 max_n=88
2022-10-28 09:56:10,481 [INFO] run_saw.run:244 getting cached OR calculating from the scratch..
2022-10-28 09:56:12,313 [INFO] aux.get_grow_caches:351 shape of existing cache is (91, 40, 40, 40), shape of query is: (89, 40, 40, 40)
2022-10-28 09:56:12,313 [INFO] run_saw.run:247 done calculating (n,dx,dy,dz) array
2022-10-28 09:56:12,313 [INFO] run_saw.run:255 boxes: [[13, 4, 4], [12, 4, 4], [11, 4, 4]] for thickness_x=4, thickness_y=4
2022-10-28 09:56:12,313 [INFO] run_saw.run:270 running WL_saw with n=82,  box=[13, 4, 4]
2022-10-28 09:56:12,313 [INFO] run_saw.run:279 ([12, 13, 14, 15, 16, 17, 18, 19], [3, 4, 5, 6, 7, 8, 9, 10], [3, 4, 5, 6, 7, 8, 9, 10])
2022-10-28 09:56:12,313 [INFO] simulation.WL_saw:193 s size is: 8
2022-10-28 09:56:12,313 [INFO] simulation.WL_saw:194 counts size is: 8
2022-10-28 09:56:12,313 [INFO] simulation.WL_saw:196 indexes: [0, 1, 2, 3, 4, 5, 6, 7]
2022-10-28 09:56:12,313 [INFO] simulation.WL_saw:208 scale alpha is: 2.000000
2022-10-28 09:56:12,313 [INFO] simulation.WL_saw:209 shifl alpha is: -0.000000
2022-10-28 09:56:34,820 [INFO] simulation.WL_saw:288 failed to grow rate: 75%, out of range:  0% 
2022-10-28 09:56:57,354 [INFO] simulation.WL_saw:288 failed to grow rate: 75%, out of range:  0% 
2022-10-28 09:57:19,867 [INFO] simulation.WL_saw:288 failed to grow rate: 75%, out of range:  0% 
2022-10-28 09:57:42,482 [INFO] simulation.WL_saw:288 failed to grow rate: 74%, out of range:  0% 
2022-10-28 09:58:05,126 [INFO] simulation.WL_saw:288 failed to grow rate: 74%, out of range:  0% 
2022-10-28 09:58:05,126 [INFO] simulation.WL_saw:293 ds=5.000000e-02, ds_min=0.000001, sweep number=5
2022-10-28 09:58:27,679 [INFO] simulation.WL_saw:288 failed to grow rate: 74%, out of range:  0% 
2022-10-28 09:58:50,137 [INFO] simulation.WL_saw:288 failed to grow rate: 74%, out of range:  0% 
2022-10-28 09:58:50,137 [INFO] simulation.WL_saw:293 ds=2.500000e-02, ds_min=0.000001, sweep number=7
2022-10-28 09:59:12,657 [INFO] simulation.WL_saw:288 failed to grow rate: 75%, out of range:  0% 
2022-10-28 09:59:35,197 [INFO] simulation.WL_saw:288 failed to grow rate: 74%, out of range:  0% 
2022-10-28 09:59:35,197 [INFO] simulation.WL_saw:293 ds=1.250000e-02, ds_min=0.000001, sweep number=9
2022-10-28 09:59:57,717 [INFO] simulation.WL_saw:288 failed to grow rate: 73%, out of range:  0% 
2022-10-28 10:00:20,203 [INFO] simulation.WL_saw:288 failed to grow rate: 74%, out of range:  0% 
2022-10-28 10:00:42,757 [INFO] simulation.WL_saw:288 failed to grow rate: 74%, out of range:  0% 
2022-10-28 10:01:05,315 [INFO] simulation.WL_saw:288 failed to grow rate: 74%, out of range:  0% 
2022-10-28 10:01:27,810 [INFO] simulation.WL_saw:288 failed to grow rate: 74%, out of range:  0% 
2022-10-28 10:01:50,298 [INFO] simulation.WL_saw:288 failed to grow rate: 74%, out of range:  0% 
2022-10-28 10:01:50,298 [INFO] simulation.WL_saw:293 ds=6.250000e-03, ds_min=0.000001, sweep number=15
2022-10-28 10:02:12,897 [INFO] simulation.WL_saw:288 failed to grow rate: 75%, out of range:  0% 
2022-10-28 10:02:35,394 [INFO] simulation.WL_saw:288 failed to grow rate: 73%, out of range:  0% 
2022-10-28 10:02:58,025 [INFO] simulation.WL_saw:288 failed to grow rate: 73%, out of range:  0% 
2022-10-28 10:02:58,025 [INFO] simulation.WL_saw:293 ds=3.125000e-03, ds_min=0.000001, sweep number=18
2022-10-28 10:03:20,460 [INFO] simulation.WL_saw:288 failed to grow rate: 73%, out of range:  0% 
2022-10-28 10:03:43,050 [INFO] simulation.WL_saw:288 failed to grow rate: 74%, out of range:  0% 
2022-10-28 10:04:05,616 [INFO] simulation.WL_saw:288 failed to grow rate: 74%, out of range:  0% 
