2022-10-28 14:41:45,610 [INFO] run_saw.<module>:323 running SAWs with the parameters: density=0.4, n_boxes=(16, 14), thicknesses=([4],[4])
2022-10-28 14:41:45,610 [INFO] run_saw.run:237 calculating maximal number of monomers...
2022-10-28 14:41:45,610 [INFO] run_saw.run:240 max_n=108
2022-10-28 14:41:45,611 [INFO] run_saw.run:244 getting cached OR calculating from the scratch..
2022-10-28 14:41:47,438 [INFO] aux.get_grow_caches:346 need to recalculate
2022-10-28 14:41:47,438 [INFO] aux.get_grow_caches:347 shape of existing cache is (91, 40, 40, 40), shape of query is: (109, 40, 40, 40)
2022-10-28 14:50:12,872 [INFO] aux.get_grow_caches:351 shape of existing cache is (109, 40, 40, 40), shape of query is: (109, 40, 40, 40)
2022-10-28 14:50:12,872 [INFO] run_saw.run:247 done calculating (n,dx,dy,dz) array
2022-10-28 14:50:12,873 [INFO] run_saw.run:255 boxes: [[16, 4, 4], [15, 4, 4], [14, 4, 4]] for thickness_x=4, thickness_y=4
2022-10-28 14:50:12,873 [INFO] run_saw.run:270 running WL_saw with n=102,  box=[16, 4, 4]
2022-10-28 14:50:12,873 [INFO] run_saw.run:279 ([15, 16, 17, 18, 19, 20, 21, 22, 23], [3, 4, 5, 6, 7, 8, 9, 10, 11], [3, 4, 5, 6, 7, 8, 9, 10, 11])
2022-10-28 14:50:12,873 [INFO] simulation.WL_saw:193 s size is: 9
2022-10-28 14:50:12,873 [INFO] simulation.WL_saw:194 counts size is: 9
2022-10-28 14:50:12,873 [INFO] simulation.WL_saw:196 indexes: [0, 1, 2, 3, 4, 5, 6, 7, 8]
2022-10-28 14:50:12,873 [INFO] simulation.WL_saw:208 scale alpha is: 2.000000
2022-10-28 14:50:12,873 [INFO] simulation.WL_saw:209 shifl alpha is: -0.000000
2022-10-28 14:50:39,443 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-28 14:51:06,078 [INFO] simulation.WL_saw:288 failed to grow rate: 77%, out of range:  0% 
2022-10-28 14:51:32,731 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-28 14:51:59,330 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-28 14:52:25,974 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-28 14:52:52,584 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-28 14:53:19,151 [INFO] simulation.WL_saw:288 failed to grow rate: 77%, out of range:  0% 
2022-10-28 14:53:45,813 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-28 14:54:12,430 [INFO] simulation.WL_saw:288 failed to grow rate: 77%, out of range:  0% 
2022-10-28 14:54:12,430 [INFO] simulation.WL_saw:293 ds=5.000000e-02, ds_min=0.000001, sweep number=9
2022-10-28 14:54:39,145 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-28 14:55:05,753 [INFO] simulation.WL_saw:288 failed to grow rate: 77%, out of range:  0% 
2022-10-28 14:55:32,499 [INFO] simulation.WL_saw:288 failed to grow rate: 77%, out of range:  0% 
2022-10-28 14:55:32,499 [INFO] simulation.WL_saw:293 ds=2.500000e-02, ds_min=0.000001, sweep number=12
2022-10-28 14:55:59,203 [INFO] simulation.WL_saw:288 failed to grow rate: 77%, out of range:  0% 
2022-10-28 14:56:25,864 [INFO] simulation.WL_saw:288 failed to grow rate: 77%, out of range:  0% 
2022-10-28 14:56:52,542 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-28 14:57:22,935 [INFO] simulation.WL_saw:288 failed to grow rate: 77%, out of range:  0% 
2022-10-28 14:57:22,935 [INFO] simulation.WL_saw:293 ds=1.250000e-02, ds_min=0.000001, sweep number=16
2022-10-28 14:58:15,700 [INFO] simulation.WL_saw:288 failed to grow rate: 77%, out of range:  0% 
2022-10-28 14:59:08,646 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-28 15:00:01,519 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-28 15:00:44,006 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-28 15:00:44,006 [INFO] simulation.WL_saw:293 ds=6.250000e-03, ds_min=0.000001, sweep number=20
2022-10-28 15:01:28,307 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-28 15:02:21,277 [INFO] simulation.WL_saw:288 failed to grow rate: 77%, out of range:  0% 
2022-10-28 15:03:14,162 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-28 15:04:07,121 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-28 15:05:00,017 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-28 15:05:27,493 [INFO] simulation.WL_saw:288 failed to grow rate: 77%, out of range:  0% 
