2022-10-28 15:00:54,148 [INFO] run_saw.<module>:323 running SAWs with the parameters: density=0.4, n_boxes=(21, 19), thicknesses=([3],[3])
2022-10-28 15:00:54,148 [INFO] run_saw.run:237 calculating maximal number of monomers...
2022-10-28 15:00:54,148 [INFO] run_saw.run:240 max_n=78
2022-10-28 15:00:54,148 [INFO] run_saw.run:244 getting cached OR calculating from the scratch..
2022-10-28 15:00:56,551 [INFO] aux.get_grow_caches:351 shape of existing cache is (109, 40, 40, 40), shape of query is: (79, 40, 40, 40)
2022-10-28 15:00:56,551 [INFO] run_saw.run:247 done calculating (n,dx,dy,dz) array
2022-10-28 15:00:56,551 [INFO] run_saw.run:255 boxes: [[21, 3, 3], [20, 3, 3], [19, 3, 3]] for thickness_x=3, thickness_y=3
2022-10-28 15:00:56,551 [INFO] run_saw.run:270 running WL_saw with n=74,  box=[21, 3, 3]
2022-10-28 15:00:56,551 [INFO] run_saw.run:279 ([20, 21, 22, 23, 24, 25, 26, 27, 28], [2, 3, 4, 5, 6, 7, 8, 9, 10], [2, 3, 4, 5, 6, 7, 8, 9, 10])
2022-10-28 15:00:56,551 [INFO] simulation.WL_saw:193 s size is: 9
2022-10-28 15:00:56,551 [INFO] simulation.WL_saw:194 counts size is: 9
2022-10-28 15:00:56,551 [INFO] simulation.WL_saw:196 indexes: [0, 1, 2, 3, 4, 5, 6, 7, 8]
2022-10-28 15:00:56,552 [INFO] simulation.WL_saw:208 scale alpha is: 3.000000
2022-10-28 15:00:56,552 [INFO] simulation.WL_saw:209 shifl alpha is: -0.000000
2022-10-28 15:01:15,730 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-28 15:01:34,970 [INFO] simulation.WL_saw:288 failed to grow rate: 77%, out of range:  0% 
2022-10-28 15:01:54,201 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-28 15:02:13,432 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-28 15:02:32,702 [INFO] simulation.WL_saw:288 failed to grow rate: 77%, out of range:  0% 
2022-10-28 15:02:51,944 [INFO] simulation.WL_saw:288 failed to grow rate: 77%, out of range:  0% 
2022-10-28 15:03:11,206 [INFO] simulation.WL_saw:288 failed to grow rate: 77%, out of range:  0% 
2022-10-28 15:03:30,464 [INFO] simulation.WL_saw:288 failed to grow rate: 77%, out of range:  0% 
2022-10-28 15:03:30,464 [INFO] simulation.WL_saw:293 ds=5.000000e-02, ds_min=0.000001, sweep number=8
2022-10-28 15:03:49,691 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-28 15:04:08,931 [INFO] simulation.WL_saw:288 failed to grow rate: 77%, out of range:  0% 
2022-10-28 15:04:28,129 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-28 15:04:47,376 [INFO] simulation.WL_saw:288 failed to grow rate: 77%, out of range:  0% 
2022-10-28 15:05:11,685 [INFO] simulation.WL_saw:288 failed to grow rate: 77%, out of range:  0% 
