2022-10-31 15:20:40,988 [INFO] run_saw.<module>:362 running SAWs with the parameters: density=0.4, n_boxes=(16, 14), thicknesses=([3],[3])
2022-10-31 15:20:40,988 [INFO] run_saw.run:267 calculating maximal number of monomers...
2022-10-31 15:20:40,988 [INFO] run_saw.run:270 max_n=60
2022-10-31 15:20:40,988 [INFO] run_saw.run:274 getting cached OR calculating from the scratch..
2022-10-31 15:20:46,518 [INFO] aux.get_grow_caches:351 shape of existing cache is (129, 50, 50, 50), shape of query is: (61, 50, 50, 50)
2022-10-31 15:20:46,519 [INFO] run_saw.run:277 done calculating (n,dx,dy,dz) array
2022-10-31 15:20:46,519 [INFO] run_saw.run:285 boxes: [[16, 3, 3], [15, 3, 3], [14, 3, 3]] for thickness_x=3, thickness_y=3
2022-10-31 15:20:46,519 [INFO] run_saw.run:294 running WL_saw with n=56,  box=[16, 3, 3]
2022-10-31 15:20:46,519 [INFO] run_saw.run:306 ([15, 16, 17, 18, 19, 20, 21], [2, 3, 4, 5, 6, 7, 8], [2, 3, 4, 5, 6, 7, 8])
2022-10-31 15:20:46,519 [INFO] run_saw.run:313 {'extend_to_left': 1, 'extend_to_right': 5, 'flatness': 0.3, 'scale_alpha': 2.0, 'ds_min': 1e-06}
2022-10-31 15:20:46,519 [INFO] simulation.WL_saw:193 s size is: 7
2022-10-31 15:20:46,519 [INFO] simulation.WL_saw:194 counts size is: 7
2022-10-31 15:20:46,519 [INFO] simulation.WL_saw:196 indexes: [0, 1, 2, 3, 4, 5, 6]
2022-10-31 15:20:46,520 [INFO] simulation.WL_saw:208 scale alpha is: 2.000000
2022-10-31 15:20:46,520 [INFO] simulation.WL_saw:209 shifl alpha is: -0.000000
2022-10-31 15:20:59,901 [INFO] simulation.WL_saw:288 failed to grow rate: 69%, out of range:  0% 
2022-10-31 15:21:13,303 [INFO] simulation.WL_saw:288 failed to grow rate: 69%, out of range:  0% 
2022-10-31 15:21:26,704 [INFO] simulation.WL_saw:288 failed to grow rate: 69%, out of range:  0% 
2022-10-31 15:21:40,099 [INFO] simulation.WL_saw:288 failed to grow rate: 69%, out of range:  0% 
2022-10-31 15:21:40,099 [INFO] simulation.WL_saw:293 ds=5.000000e-02, ds_min=0.000001, sweep number=4
2022-10-31 15:21:53,469 [INFO] simulation.WL_saw:288 failed to grow rate: 70%, out of range:  0% 
2022-10-31 15:22:06,847 [INFO] simulation.WL_saw:288 failed to grow rate: 69%, out of range:  0% 
2022-10-31 15:22:06,847 [INFO] simulation.WL_saw:293 ds=2.500000e-02, ds_min=0.000001, sweep number=6
2022-10-31 15:22:20,228 [INFO] simulation.WL_saw:288 failed to grow rate: 70%, out of range:  0% 
2022-10-31 15:22:33,614 [INFO] simulation.WL_saw:288 failed to grow rate: 67%, out of range:  0% 
2022-10-31 15:22:33,614 [INFO] simulation.WL_saw:293 ds=1.250000e-02, ds_min=0.000001, sweep number=8
2022-10-31 15:22:46,989 [INFO] simulation.WL_saw:288 failed to grow rate: 69%, out of range:  0% 
2022-10-31 15:23:00,388 [INFO] simulation.WL_saw:288 failed to grow rate: 68%, out of range:  0% 
2022-10-31 15:23:13,776 [INFO] simulation.WL_saw:288 failed to grow rate: 69%, out of range:  0% 
2022-10-31 15:23:13,776 [INFO] simulation.WL_saw:293 ds=6.250000e-03, ds_min=0.000001, sweep number=11
