2022-10-31 13:17:43,637 [INFO] run_saw.<module>:339 running SAWs with the parameters: density=0.4, n_boxes=(17, 17), thicknesses=([4],[3])
2022-10-31 13:17:43,637 [INFO] run_saw.run:246 calculating maximal number of monomers...
2022-10-31 13:17:43,637 [INFO] run_saw.run:249 max_n=86
2022-10-31 13:17:43,637 [INFO] run_saw.run:253 getting cached OR calculating from the scratch..
2022-10-31 13:17:49,142 [INFO] aux.get_grow_caches:351 shape of existing cache is (129, 50, 50, 50), shape of query is: (87, 50, 50, 50)
2022-10-31 13:17:49,143 [INFO] run_saw.run:256 done calculating (n,dx,dy,dz) array
2022-10-31 13:17:49,143 [INFO] run_saw.run:264 boxes: [[17, 4, 3]] for thickness_x=4, thickness_y=3
2022-10-31 13:17:49,143 [INFO] run_saw.run:279 running WL_saw with n=80,  box=[17, 4, 3]
2022-10-31 13:17:49,143 [INFO] run_saw.run:290 ([16, 17, 18, 19, 20, 21, 22, 23], [3, 4, 5, 6, 7, 8, 9, 10], [2, 3, 4, 5, 6, 7, 8, 9])
2022-10-31 13:17:49,143 [INFO] run_saw.run:296 {'extend_to_left': 1, 'extend_to_right': 6, 'flatness': 0.3, 'scale_alpha': 3.0}
2022-10-31 13:17:49,143 [INFO] simulation.WL_saw:193 s size is: 8
2022-10-31 13:17:49,143 [INFO] simulation.WL_saw:194 counts size is: 8
2022-10-31 13:17:49,143 [INFO] simulation.WL_saw:196 indexes: [0, 1, 2, 3, 4, 5, 6, 7]
2022-10-31 13:17:49,143 [INFO] simulation.WL_saw:208 scale alpha is: 3.000000
2022-10-31 13:17:49,143 [INFO] simulation.WL_saw:209 shifl alpha is: -0.000000
2022-10-31 13:18:10,584 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-31 13:18:31,722 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-31 13:18:52,850 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-31 13:19:13,967 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-31 13:19:35,069 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-31 13:19:56,195 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-31 13:20:17,305 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-31 13:20:17,305 [INFO] simulation.WL_saw:293 ds=5.000000e-02, ds_min=0.000001, sweep number=7
2022-10-31 13:20:38,452 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-31 13:20:59,605 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-31 13:21:20,729 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-31 13:21:20,729 [INFO] simulation.WL_saw:293 ds=2.500000e-02, ds_min=0.000001, sweep number=10
2022-10-31 13:21:41,876 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-31 13:22:02,993 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-31 13:22:24,139 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-31 13:22:24,139 [INFO] simulation.WL_saw:293 ds=1.250000e-02, ds_min=0.000001, sweep number=13
2022-10-31 13:22:45,304 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-31 13:23:06,444 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-31 13:23:27,623 [INFO] simulation.WL_saw:288 failed to grow rate: 77%, out of range:  0% 
2022-10-31 13:23:48,771 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-31 13:24:09,875 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-31 13:24:31,028 [INFO] simulation.WL_saw:288 failed to grow rate: 80%, out of range:  0% 
2022-10-31 13:24:52,212 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-31 13:25:13,378 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-31 13:25:34,553 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-31 13:25:55,734 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-31 13:26:16,922 [INFO] simulation.WL_saw:288 failed to grow rate: 77%, out of range:  0% 
2022-10-31 13:26:16,923 [INFO] simulation.WL_saw:293 ds=6.250000e-03, ds_min=0.000001, sweep number=24
2022-10-31 13:26:38,052 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-31 13:26:59,191 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-31 13:27:20,351 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-31 13:27:41,499 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-31 13:28:02,669 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-31 13:28:23,808 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-31 13:28:44,916 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-31 13:29:06,062 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-31 13:29:27,182 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-31 13:29:48,357 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-31 13:30:09,525 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-31 13:30:09,525 [INFO] simulation.WL_saw:293 ds=3.125000e-03, ds_min=0.000001, sweep number=35
2022-10-31 13:30:30,733 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-31 13:30:51,865 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
