2022-10-31 20:44:52,535 [INFO] run_saw.<module>:362 running SAWs with the parameters: density=0.4, n_boxes=(19, 19), thicknesses=([4],[4])
2022-10-31 20:44:52,535 [INFO] run_saw.run:267 calculating maximal number of monomers...
2022-10-31 20:44:52,535 [INFO] run_saw.run:270 max_n=128
2022-10-31 20:44:52,535 [INFO] run_saw.run:274 getting cached OR calculating from the scratch..
2022-10-31 20:44:58,014 [INFO] aux.get_grow_caches:351 shape of existing cache is (129, 50, 50, 50), shape of query is: (129, 50, 50, 50)
2022-10-31 20:44:58,014 [INFO] run_saw.run:277 done calculating (n,dx,dy,dz) array
2022-10-31 20:44:58,014 [INFO] run_saw.run:285 boxes: [[19, 4, 4]] for thickness_x=4, thickness_y=4
2022-10-31 20:44:58,014 [INFO] run_saw.run:294 running WL_saw with n=120,  box=[19, 4, 4]
2022-10-31 20:44:58,014 [INFO] run_saw.run:306 ([18, 19, 20, 21, 22, 23, 24, 25, 26], [3, 4, 5, 6, 7, 8, 9, 10, 11], [3, 4, 5, 6, 7, 8, 9, 10, 11])
2022-10-31 20:44:58,014 [INFO] run_saw.run:313 {'extend_to_left': 1, 'extend_to_right': 7, 'flatness': 0.3, 'scale_alpha': 3.5, 'ds_min': 1e-06}
2022-10-31 20:44:58,014 [INFO] simulation.WL_saw:193 s size is: 9
2022-10-31 20:44:58,014 [INFO] simulation.WL_saw:194 counts size is: 9
2022-10-31 20:44:58,015 [INFO] simulation.WL_saw:196 indexes: [0, 1, 2, 3, 4, 5, 6, 7, 8]
2022-10-31 20:44:58,015 [INFO] simulation.WL_saw:208 scale alpha is: 3.500000
2022-10-31 20:44:58,015 [INFO] simulation.WL_saw:209 shifl alpha is: -0.000000
2022-10-31 20:45:30,954 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 20:46:03,816 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 20:46:36,725 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 20:47:09,763 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 20:47:42,740 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 20:48:15,680 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 20:48:48,658 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 20:49:21,640 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 20:49:54,676 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 20:50:27,688 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 20:51:00,726 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 20:51:33,731 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 20:52:06,768 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 20:52:39,786 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 20:53:12,734 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 20:53:45,784 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 20:54:18,822 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 20:54:51,781 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 20:55:24,854 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 20:55:57,831 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 20:56:30,838 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 20:57:03,808 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 20:57:36,756 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 20:58:09,765 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 20:58:42,774 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 20:59:15,796 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 20:59:15,796 [INFO] simulation.WL_saw:293 ds=5.000000e-02, ds_min=0.000001, sweep number=26
2022-10-31 20:59:48,831 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:00:21,777 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:00:54,749 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:01:27,662 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:02:00,631 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:02:33,602 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:03:06,598 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:03:39,521 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:03:39,521 [INFO] simulation.WL_saw:293 ds=2.500000e-02, ds_min=0.000001, sweep number=34
2022-10-31 21:04:12,502 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:04:45,532 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:05:18,563 [INFO] simulation.WL_saw:288 failed to grow rate: 86%, out of range:  1% 
2022-10-31 21:05:51,582 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:06:24,587 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:06:57,577 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:06:57,577 [INFO] simulation.WL_saw:293 ds=1.250000e-02, ds_min=0.000001, sweep number=40
2022-10-31 21:07:30,473 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:08:03,538 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:08:36,580 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:09:09,556 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:09:42,625 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:10:15,617 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:10:48,553 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:11:21,678 [INFO] simulation.WL_saw:288 failed to grow rate: 83%, out of range:  1% 
2022-10-31 21:11:54,656 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:12:27,604 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:13:00,664 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:13:33,659 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:14:06,722 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:14:39,758 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:15:12,737 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:15:45,772 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:16:18,747 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:16:51,696 [INFO] simulation.WL_saw:288 failed to grow rate: 86%, out of range:  1% 
2022-10-31 21:17:24,680 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:17:57,652 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:18:30,593 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:19:03,535 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:19:03,535 [INFO] simulation.WL_saw:293 ds=6.250000e-03, ds_min=0.000001, sweep number=62
2022-10-31 21:19:36,421 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:20:09,418 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:20:42,289 [INFO] simulation.WL_saw:288 failed to grow rate: 86%, out of range:  1% 
2022-10-31 21:21:15,222 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:21:48,219 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:22:21,210 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:22:54,123 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:23:27,075 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:23:59,983 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:24:32,950 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:25:05,929 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:25:38,866 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:26:11,890 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:26:44,928 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:27:17,961 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:27:50,970 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:28:24,066 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:28:56,973 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:29:30,046 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:30:02,935 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:30:35,931 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:31:08,922 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:31:41,907 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  2% 
2022-10-31 21:32:14,842 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:32:47,835 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:33:20,802 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:33:53,784 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:34:26,737 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:34:59,756 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:35:32,728 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:36:05,784 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:36:38,667 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:37:11,587 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:37:44,567 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  2% 
2022-10-31 21:38:17,583 [INFO] simulation.WL_saw:288 failed to grow rate: 83%, out of range:  1% 
2022-10-31 21:38:50,590 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:39:23,583 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:39:23,583 [INFO] simulation.WL_saw:293 ds=3.125000e-03, ds_min=0.000001, sweep number=99
2022-10-31 21:39:56,589 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  2% 
2022-10-31 21:40:29,483 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:41:02,469 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:41:35,430 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:42:08,318 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:42:41,316 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:43:14,285 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:43:47,219 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:44:20,193 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:44:53,139 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:45:26,174 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:45:59,137 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:46:32,138 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:47:05,040 [INFO] simulation.WL_saw:288 failed to grow rate: 86%, out of range:  1% 
2022-10-31 21:47:38,108 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:48:11,066 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:48:43,995 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:49:16,989 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:49:49,959 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:50:22,954 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:50:55,960 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:51:28,919 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:52:01,844 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:52:34,793 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:53:07,766 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:53:40,755 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:54:13,678 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:54:46,562 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:55:19,609 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:55:52,506 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:56:25,481 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:56:58,435 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:57:31,384 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:58:04,254 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 21:58:37,313 [INFO] simulation.WL_saw:288 failed to grow rate: 83%, out of range:  1% 
2022-10-31 21:59:10,313 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 21:59:10,313 [INFO] simulation.WL_saw:293 ds=1.562500e-03, ds_min=0.000001, sweep number=135
2022-10-31 21:59:43,269 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 22:00:16,231 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:00:49,161 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:01:22,149 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 22:01:55,106 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 22:02:28,095 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:03:01,134 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:03:34,178 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:04:07,220 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:04:40,349 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 22:05:13,290 [INFO] simulation.WL_saw:288 failed to grow rate: 83%, out of range:  1% 
2022-10-31 22:05:46,396 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 22:06:19,422 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:06:52,598 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 22:07:25,473 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:07:58,515 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:08:31,462 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:09:04,628 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:09:37,552 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:10:10,542 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 22:10:43,461 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:11:16,653 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:11:49,540 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:12:22,642 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:12:55,559 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 22:13:28,714 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 22:14:01,558 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:14:34,710 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:15:07,510 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 22:15:40,621 [INFO] simulation.WL_saw:288 failed to grow rate: 86%, out of range:  1% 
2022-10-31 22:16:13,496 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 22:16:46,477 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:17:19,329 [INFO] simulation.WL_saw:288 failed to grow rate: 86%, out of range:  1% 
2022-10-31 22:17:52,354 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:18:25,214 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:18:58,339 [INFO] simulation.WL_saw:288 failed to grow rate: 86%, out of range:  1% 
2022-10-31 22:19:31,203 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 22:20:04,247 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  2% 
2022-10-31 22:20:37,088 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:21:10,011 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 22:21:42,877 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:22:15,950 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:22:48,723 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 22:23:21,808 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:23:54,635 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  2% 
2022-10-31 22:24:27,710 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 22:25:00,712 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 22:25:33,616 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:26:06,462 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:26:39,573 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 22:27:12,520 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 22:27:45,710 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 22:28:18,860 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 22:28:51,935 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 22:29:25,056 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:29:58,042 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:30:31,128 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:31:03,935 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:31:37,079 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:32:10,289 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 22:32:43,343 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 22:33:16,381 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:33:49,452 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:34:22,577 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 22:34:55,754 [INFO] simulation.WL_saw:288 failed to grow rate: 86%, out of range:  1% 
2022-10-31 22:35:28,959 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 22:36:02,055 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:36:34,866 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:37:07,953 [INFO] simulation.WL_saw:288 failed to grow rate: 84%, out of range:  1% 
2022-10-31 22:37:41,054 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:38:14,094 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:38:47,066 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:39:20,215 [INFO] simulation.WL_saw:288 failed to grow rate: 85%, out of range:  1% 
2022-10-31 22:39:53,265 [INFO] simulation.WL_saw:288 failed to grow rate: 83%, out of range:  1% 
