2022-10-27 21:25:08,408 [INFO] run_saw.<module>:316 running SAWs with the parameters: density=0.4, n_boxes=(24, 24), thicknesses=([3],[3])
2022-10-27 21:25:08,408 [INFO] run_saw.run:231 calculating maximal number of monomers...
2022-10-27 21:25:08,408 [INFO] run_saw.run:234 max_n=90
2022-10-27 21:25:08,408 [INFO] run_saw.run:238 getting cached OR calculating from the scratch..
2022-10-27 21:25:10,124 [INFO] aux.get_grow_caches:346 need to recalculate
2022-10-27 21:25:10,124 [INFO] aux.get_grow_caches:347 shape of existing cache is (87, 40, 40, 40), shape of query is: (91, 40, 40, 40)
2022-10-27 21:28:53,461 [INFO] aux.get_grow_caches:351 shape of existing cache is (91, 40, 40, 40), shape of query is: (91, 40, 40, 40)
2022-10-27 21:28:53,461 [INFO] run_saw.run:241 done calculating (n,dx,dy,dz) array
2022-10-27 21:28:53,461 [INFO] run_saw.run:249 boxes: [[24, 3, 3]] for thickness_x=3, thickness_y=3
2022-10-27 21:28:53,461 [INFO] run_saw.run:264 running WL_saw with n=86,  box=[24, 3, 3]
2022-10-27 21:28:53,461 [INFO] run_saw.run:273 ([23, 24, 25, 26, 27, 28, 29, 30, 31], [2, 3, 4, 5, 6, 7, 8, 9, 10], [2, 3, 4, 5, 6, 7, 8, 9, 10])
2022-10-27 21:28:53,461 [INFO] simulation.WL_saw:193 s size is: 9
2022-10-27 21:28:53,461 [INFO] simulation.WL_saw:194 counts size is: 9
2022-10-27 21:28:53,461 [INFO] simulation.WL_saw:196 indexes: [0, 1, 2, 3, 4, 5, 6, 7, 8]
2022-10-27 21:28:53,461 [INFO] simulation.WL_saw:208 scale alpha is: 3.000000
2022-10-27 21:28:53,461 [INFO] simulation.WL_saw:209 shifl alpha is: -0.000000
2022-10-27 21:29:15,825 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-27 21:29:38,189 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-27 21:30:00,544 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-27 21:30:22,943 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-27 21:30:45,300 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-27 21:31:07,703 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-27 21:31:30,034 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-27 21:31:52,444 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-27 21:32:14,779 [INFO] simulation.WL_saw:288 failed to grow rate: 80%, out of range:  0% 
2022-10-27 21:32:37,141 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-27 21:32:59,539 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-27 21:33:21,897 [INFO] simulation.WL_saw:288 failed to grow rate: 80%, out of range:  0% 
2022-10-27 21:33:21,897 [INFO] simulation.WL_saw:293 ds=5.000000e-02, ds_min=0.000001, sweep number=12
2022-10-27 21:33:44,273 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-27 21:34:06,633 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-27 21:34:29,092 [INFO] simulation.WL_saw:288 failed to grow rate: 80%, out of range:  0% 
