2022-10-27 15:36:29,564 [INFO] run_saw.<module>:316 running SAWs with the parameters: density=0.4, n_boxes=(23, 21), thicknesses=([3],[3])
2022-10-27 15:36:29,565 [INFO] run_saw.run:231 calculating maximal number of monomers...
2022-10-27 15:36:29,565 [INFO] run_saw.run:234 max_n=86
2022-10-27 15:36:29,565 [INFO] run_saw.run:238 getting cached OR calculating from the scratch..
2022-10-27 15:36:30,785 [INFO] aux.get_grow_caches:346 need to recalculate
2022-10-27 15:36:30,786 [INFO] aux.get_grow_caches:347 shape of existing cache is (87, 35, 35, 35), shape of query is: (87, 40, 40, 40)
2022-10-27 15:39:29,155 [INFO] aux.get_grow_caches:351 shape of existing cache is (87, 40, 40, 40), shape of query is: (87, 40, 40, 40)
2022-10-27 15:39:29,155 [INFO] run_saw.run:241 done calculating (n,dx,dy,dz) array
2022-10-27 15:39:29,155 [INFO] run_saw.run:249 boxes: [[23, 3, 3], [22, 3, 3], [21, 3, 3]] for thickness_x=3, thickness_y=3
2022-10-27 15:39:29,155 [INFO] run_saw.run:264 running WL_saw with n=82,  box=[23, 3, 3]
2022-10-27 15:39:29,155 [INFO] run_saw.run:273 ([22, 23, 24, 25, 26, 27, 28, 29], [2, 3, 4, 5, 6, 7, 8, 9], [2, 3, 4, 5, 6, 7, 8, 9])
2022-10-27 15:39:29,156 [INFO] simulation.WL_saw:193 s size is: 8
2022-10-27 15:39:29,156 [INFO] simulation.WL_saw:194 counts size is: 8
2022-10-27 15:39:29,156 [INFO] simulation.WL_saw:196 indexes: [0, 1, 2, 3, 4, 5, 6, 7]
2022-10-27 15:39:29,156 [INFO] simulation.WL_saw:208 scale alpha is: 3.000000
2022-10-27 15:39:29,156 [INFO] simulation.WL_saw:209 shifl alpha is: -0.000000
2022-10-27 15:39:50,766 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-27 15:40:12,451 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-27 15:40:34,091 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-27 15:40:55,694 [INFO] simulation.WL_saw:288 failed to grow rate: 80%, out of range:  0% 
2022-10-27 15:41:17,247 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-27 15:41:38,962 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-27 15:42:00,684 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-27 15:42:22,434 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-27 15:42:43,954 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-27 15:43:05,558 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-27 15:43:05,558 [INFO] simulation.WL_saw:293 ds=5.000000e-02, ds_min=0.000001, sweep number=10
2022-10-27 15:43:27,069 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-27 15:43:48,823 [INFO] simulation.WL_saw:288 failed to grow rate: 80%, out of range:  0% 
2022-10-27 15:44:10,541 [INFO] simulation.WL_saw:288 failed to grow rate: 78%, out of range:  0% 
2022-10-27 15:44:32,147 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
2022-10-27 15:44:53,926 [INFO] simulation.WL_saw:288 failed to grow rate: 79%, out of range:  0% 
