2022-10-28 08:23:08,409 [INFO] run_saw.<module>:316 running SAWs with the parameters: density=0.4, n_boxes=(3, 3), thicknesses=([4],[4])
2022-10-28 08:23:08,409 [INFO] run_saw.run:231 calculating maximal number of monomers...
2022-10-28 08:23:08,409 [INFO] run_saw.run:234 max_n=24
2022-10-28 08:23:08,409 [INFO] run_saw.run:238 getting cached OR calculating from the scratch..
2022-10-28 08:23:10,240 [INFO] aux.get_grow_caches:351 shape of existing cache is (91, 40, 40, 40), shape of query is: (25, 40, 40, 40)
2022-10-28 08:23:10,240 [INFO] run_saw.run:241 done calculating (n,dx,dy,dz) array
2022-10-28 08:23:10,240 [INFO] run_saw.run:249 boxes: [[3, 4, 4]] for thickness_x=4, thickness_y=4
2022-10-28 08:23:10,240 [INFO] run_saw.run:264 running WL_saw with n=18,  box=[3, 4, 4]
2022-10-28 08:23:10,240 [INFO] run_saw.run:273 ([2, 3, 4, 5, 6], [3, 4, 5, 6, 7], [3, 4, 5, 6, 7])
2022-10-28 08:23:10,240 [INFO] simulation.WL_saw:193 s size is: 5
2022-10-28 08:23:10,240 [INFO] simulation.WL_saw:194 counts size is: 5
2022-10-28 08:23:10,240 [INFO] simulation.WL_saw:196 indexes: [0, 1, 2, 3, 4]
2022-10-28 08:23:10,240 [INFO] simulation.WL_saw:208 scale alpha is: 0.000000
2022-10-28 08:23:10,240 [INFO] simulation.WL_saw:209 shifl alpha is: -0.000000
2022-10-28 08:23:14,223 [INFO] simulation.WL_saw:288 failed to grow rate: 29%, out of range:  0% 
2022-10-28 08:23:18,315 [INFO] simulation.WL_saw:288 failed to grow rate: 28%, out of range:  0% 
2022-10-28 08:23:22,348 [INFO] simulation.WL_saw:288 failed to grow rate: 29%, out of range:  0% 
2022-10-28 08:23:26,373 [INFO] simulation.WL_saw:288 failed to grow rate: 29%, out of range:  0% 
2022-10-28 08:23:30,414 [INFO] simulation.WL_saw:288 failed to grow rate: 28%, out of range:  0% 
2022-10-28 08:23:34,445 [INFO] simulation.WL_saw:288 failed to grow rate: 29%, out of range:  0% 
2022-10-28 08:23:34,445 [INFO] simulation.WL_saw:293 ds=5.000000e-02, ds_min=0.000001, sweep number=6
2022-10-28 08:23:38,495 [INFO] simulation.WL_saw:288 failed to grow rate: 29%, out of range:  0% 
2022-10-28 08:23:42,552 [INFO] simulation.WL_saw:288 failed to grow rate: 28%, out of range:  0% 
2022-10-28 08:23:42,552 [INFO] simulation.WL_saw:293 ds=2.500000e-02, ds_min=0.000001, sweep number=8
2022-10-28 08:23:46,534 [INFO] simulation.WL_saw:288 failed to grow rate: 28%, out of range:  0% 
2022-10-28 08:23:50,516 [INFO] simulation.WL_saw:288 failed to grow rate: 28%, out of range:  0% 
2022-10-28 08:23:54,570 [INFO] simulation.WL_saw:288 failed to grow rate: 29%, out of range:  0% 
